x1,y1,z1,x2,y2,z2
83,50,66.5,7.599999905,0,501
73,49,61,6.300000191,0.289999992,419
74,52,63,7.5,0.319999993,397
95,61,78,2.599999905,0,385
44,52,48,10,0.140000001,200
69,54,61.5,6.599999905,0.02,375
66,39,52.5,2.400000095,0,417
66,38,52,0,0,629
80,55,67.5,3.799999952,0,533
79,45,62,4.099999905,0,547
78,55,66.5,8.5,0,432
65,48,56.5,7.199999809,0,418
41,49,45,10,0.029999999,193
59,35,47,7.699999809,0,331
50,35,42.5,5.800000191,0,280
54,32,43,3.599999905,0,304
97,71,84,6.099999905,0.680000007,352
75,43,59,6.300000191,0,156
63,35,49,8.600000381,0,365
42,37,39.5,10,0.150000006,181
70,49,59.5,7.900000095,0,514
57,48,52.5,6.800000191,0,259
71,39,55,5.199999809,0,452
46,30,38,9.699999809,0.200000003,189
61,35,48,4.400000095,0,362
81,65,73,10,1.440000057,256
64,58,61,10,1.149999976,155
57,36,46.5,6.5,0.01,174
62,36,49,0,0,259
83,54,68.5,1.200000048,0,535
76,44,60,1.799999952,0,650
74,50,62,8,0.119999997,409
59,40,49.5,9.399999619,0.340000004,311
77,52,64.5,5,0,736
52,43,47.5,5.800000191,0.01,186
67,43,55,6.699999809,0,371
51,19,35,0,0,291
41,25,33,0,0,287
90,65,77.5,8.399999619,0,411
70,30,50,0,0,461
81,39,60,0,0,540
72,53,62.5,7.900000095,0,376
70,63,66.5,9.899999619,0,554
69,41,55,6.400000095,0,339
59,34,46.5,2.400000095,0,344
60,32,46,1.200000048,0,348
72,47,59.5,4.099999905,0,517
70,47,58.5,9.899999619,0,328
76,72,74,9.699999809,0.349999994,298
56,38,47,0,0,335
66,38,52,3.900000095,0,186
84,69,76.5,8.899999619,0.01,505
58,51,54.5,10,0.150000006,156
56,41,48.5,7,0,362
79,47,63,7,0.01,507
67,39,53,6.800000191,0.02,407
75,47,61,6.800000191,0,421
65,30,47.5,4.300000191,0,393
70,41,55.5,5.099999905,0,422
64,41,52.5,3.400000095,0,349
51,39,45,10,0.159999996,150
77,43,60,0.400000006,0,429
60,34,47,10,0,293
74,55,64.5,4.599999905,0,461
84,70,77,9.899999619,1.49000001,388
61,42,51.5,6.400000095,0.01,322
49,43,46,9.699999809,0.119999997,129
71,42,56.5,4,0,415
70,62,66,3,0,460
83,60,71.5,8.199999809,0.140000001,405
90,66,78,6.599999905,0,453
92,66,79,7.900000095,0,395
88,54,71,6.199999809,0,531
62,39,50.5,0.800000012,0,236
86,50,68,6.199999809,0,484
67,43,55,0.400000006,0,445
59,35,47,1.700000048,0,252
89,69,79,9,0.360000014,286
63,46,54.5,6.900000095,0.170000002,400
59,46,52.5,10,0,261
74,55,64.5,7.800000191,0,339
80,33,56.5,0.699999988,0,617
55,45,50,9.600000381,0.200000003,316
62,28,45,5.699999809,0.02,367
74,33,53.5,2.5,0,635
95,66,80.5,4.099999905,0,449
65,20,42.5,9.399999619,0.219999999,314
55,43,49,9,0,264
89,57,73,1.899999976,0,356
80,53,66.5,3.799999952,0,564
